feature;gender;cohen_d
WC;M;ns
WPS;M;-0.07
QMark;F;ns
BigWords;M;-0.24
number;M;-0.15
negate;F;0.11
article;M;-0.24
prep;M;-0.17
emotion;F;0.11
emo_pos;F;0.15
emo_neg;F;0.10
emo_anx;F;0.16
emo_sad;F;0.10
emo_anger;M;ns
swear;M;-0.22
feeling;F;0.17
auditory;F;0.10
visual;M;ns
cogproc;F;0.07
cause;NoDiff;ns
insight;F;0.09
discrep;F;0.07
tentat;F;ns
certitude;F;0.14
Social;F;0.21
comm;F;ns
friend;F;0.09
family;F;0.12
pronoun;F;0.36
i;F;0.17
we;F;ns
you;M;-0.06
shehe;F;0.20
time;F;ns
focuspast;F;0.12
focuspresent;F;0.18
focusfuture;M;ns
space;NoDiff;ns
motion;F;0.07
work;M;-0.12
money;M;-0.10
leisure;F;ns
home;F;0.15
sexual;F;ns